Year,Units,Series,Value
2006,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,6.499
2007,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,7.321
2008,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,8.284
2009,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,9.87
2010,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,11.597
2011,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,12.94
2012,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,14.629
2013,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,15.758
2014,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,17.462
2015,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,18.065
2016,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,18.32
2017,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,18.478
2018,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,18.837
2019,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,19.321
2020,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,19.583
2021,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,18.942
2022,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,19.297
2023,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,19.659
2024,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,19.97
2030,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,
2006,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,22.091
2007,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,24.329
2008,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,27.067
2009,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,29.87
2010,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,32.321
2011,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,34.879
2012,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,37.245
2013,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,39.485
2014,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,41.945
2015,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,43.935
2016,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,44.756
2017,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,45.509
2018,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,46.132
2019,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,47.178
2020,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,47.913
2021,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,47.324
2022,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,47.353
2023,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,47.003
2024,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,46.976
2030,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,
