Year,Units,Zeitreihe,Value
2008,Prozent,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",21.2
2009,Prozent,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",24.0
2010,Prozent,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",25.9
2011,Prozent,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",28.0
2012,Prozent,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",30.0
2013,Prozent,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",32.6
2014,Prozent,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",34.8
2015,Prozent,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",36.9
2016,Prozent,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",38.8
2017,Prozent,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",40.4
2018,Prozent,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",42.1
2019,Prozent,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",43.5
2020,Prozent,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",43.7
2021,Prozent,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",46.2
2030,Prozent,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",
2008,Prozent,Zusätzliche Information: Anteil der männlichen Bezieher an allen genommenen Elterngeldmonaten,
2009,Prozent,Zusätzliche Information: Anteil der männlichen Bezieher an allen genommenen Elterngeldmonaten,6.8
2010,Prozent,Zusätzliche Information: Anteil der männlichen Bezieher an allen genommenen Elterngeldmonaten,7.0
2011,Prozent,Zusätzliche Information: Anteil der männlichen Bezieher an allen genommenen Elterngeldmonaten,7.4
2012,Prozent,Zusätzliche Information: Anteil der männlichen Bezieher an allen genommenen Elterngeldmonaten,7.7
2013,Prozent,Zusätzliche Information: Anteil der männlichen Bezieher an allen genommenen Elterngeldmonaten,8.2
2014,Prozent,Zusätzliche Information: Anteil der männlichen Bezieher an allen genommenen Elterngeldmonaten,8.6
2015,Prozent,Zusätzliche Information: Anteil der männlichen Bezieher an allen genommenen Elterngeldmonaten,8.8
2016,Prozent,Zusätzliche Information: Anteil der männlichen Bezieher an allen genommenen Elterngeldmonaten,9.1
2017,Prozent,Zusätzliche Information: Anteil der männlichen Bezieher an allen genommenen Elterngeldmonaten,9.3
2018,Prozent,Zusätzliche Information: Anteil der männlichen Bezieher an allen genommenen Elterngeldmonaten,9.5
2019,Prozent,Zusätzliche Information: Anteil der männlichen Bezieher an allen genommenen Elterngeldmonaten,9.6
2020,Prozent,Zusätzliche Information: Anteil der männlichen Bezieher an allen genommenen Elterngeldmonaten,9.6
2021,Prozent,Zusätzliche Information: Anteil der männlichen Bezieher an allen genommenen Elterngeldmonaten,10.0
2030,Prozent,Zusätzliche Information: Anteil der männlichen Bezieher an allen genommenen Elterngeldmonaten,
