Year,Units,Display,Air pollutants,Value
2005,2005 = 100,Time series,Air pollutants overall,100.0
2006,2005 = 100,Time series,Air pollutants overall,99.7
2007,2005 = 100,Time series,Air pollutants overall,97.0
2008,2005 = 100,Time series,Air pollutants overall,94.8
2009,2005 = 100,Time series,Air pollutants overall,88.3
2010,2005 = 100,Time series,Air pollutants overall,90.7
2011,2005 = 100,Time series,Air pollutants overall,88.5
2012,2005 = 100,Time series,Air pollutants overall,87.1
2013,2005 = 100,Time series,Air pollutants overall,86.3
2014,2005 = 100,Time series,Air pollutants overall,83.3
2015,2005 = 100,Time series,Air pollutants overall,82.4
2016,2005 = 100,Time series,Air pollutants overall,79.8
2017,2005 = 100,Time series,Air pollutants overall,78.4
2018,2005 = 100,Time series,Air pollutants overall,75.3
2030,2005 = 100,Target,Air pollutants overall,55.0
2005,2005 = 100,Time series,SO<sub>2</sub>,100.0
2006,2005 = 100,Time series,SO<sub>2</sub>,99.7
2007,2005 = 100,Time series,SO<sub>2</sub>,96.1
2008,2005 = 100,Time series,SO<sub>2</sub>,95.1
2009,2005 = 100,Time series,SO<sub>2</sub>,82.8
2010,2005 = 100,Time series,SO<sub>2</sub>,84.9
2011,2005 = 100,Time series,SO<sub>2</sub>,81.5
2012,2005 = 100,Time series,SO<sub>2</sub>,77.9
2013,2005 = 100,Time series,SO<sub>2</sub>,75.4
2014,2005 = 100,Time series,SO<sub>2</sub>,71.1
2015,2005 = 100,Time series,SO<sub>2</sub>,70.4
2016,2005 = 100,Time series,SO<sub>2</sub>,65.2
2017,2005 = 100,Time series,SO<sub>2</sub>,63.2
2018,2005 = 100,Time series,SO<sub>2</sub>,60.5
2005,2005 = 100,Time series,NO<sub>x</sub>,100.0
2006,2005 = 100,Time series,NO<sub>x</sub>,100.7
2007,2005 = 100,Time series,NO<sub>x</sub>,97.6
2008,2005 = 100,Time series,NO<sub>x</sub>,94.6
2009,2005 = 100,Time series,NO<sub>x</sub>,88.7
2010,2005 = 100,Time series,NO<sub>x</sub>,89.8
2011,2005 = 100,Time series,NO<sub>x</sub>,88.7
2012,2005 = 100,Time series,NO<sub>x</sub>,87.7
2013,2005 = 100,Time series,NO<sub>x</sub>,87.7
2014,2005 = 100,Time series,NO<sub>x</sub>,84.9
2015,2005 = 100,Time series,NO<sub>x</sub>,83.1
2016,2005 = 100,Time series,NO<sub>x</sub>,81.3
2017,2005 = 100,Time series,NO<sub>x</sub>,78.3
2018,2005 = 100,Time series,NO<sub>x</sub>,73.0
2005,2005 = 100,Time series,NH<sub>3</sub>,100.0
2006,2005 = 100,Time series,NH<sub>3</sub>,100.2
2007,2005 = 100,Time series,NH<sub>3</sub>,100.7
2008,2005 = 100,Time series,NH<sub>3</sub>,101.1
2009,2005 = 100,Time series,NH<sub>3</sub>,102.9
2010,2005 = 100,Time series,NH<sub>3</sub>,99.9
2011,2005 = 100,Time series,NH<sub>3</sub>,104.5
2012,2005 = 100,Time series,NH<sub>3</sub>,102.6
2013,2005 = 100,Time series,NH<sub>3</sub>,105.1
2014,2005 = 100,Time series,NH<sub>3</sub>,105.3
2015,2005 = 100,Time series,NH<sub>3</sub>,106.7
2016,2005 = 100,Time series,NH<sub>3</sub>,105.3
2017,2005 = 100,Time series,NH<sub>3</sub>,103.8
2018,2005 = 100,Time series,NH<sub>3</sub>,99.2
2005,2005 = 100,Time series,NMVOC,100.0
2006,2005 = 100,Time series,NMVOC,99.6
2007,2005 = 100,Time series,NMVOC,95.5
2008,2005 = 100,Time series,NMVOC,91.4
2009,2005 = 100,Time series,NMVOC,83.8
2010,2005 = 100,Time series,NMVOC,91.5
2011,2005 = 100,Time series,NMVOC,84.2
2012,2005 = 100,Time series,NMVOC,84.6
2013,2005 = 100,Time series,NMVOC,81.7
2014,2005 = 100,Time series,NMVOC,79.1
2015,2005 = 100,Time series,NMVOC,77.1
2016,2005 = 100,Time series,NMVOC,76.7
2017,2005 = 100,Time series,NMVOC,77.1
2018,2005 = 100,Time series,NMVOC,75.4
2005,2005 = 100,Time series,PM<sub>2.5</sub>,100.0
2006,2005 = 100,Time series,PM<sub>2.5</sub>,98.4
2007,2005 = 100,Time series,PM<sub>2.5</sub>,95.1
2008,2005 = 100,Time series,PM<sub>2.5</sub>,91.8
2009,2005 = 100,Time series,PM<sub>2.5</sub>,83.1
2010,2005 = 100,Time series,PM<sub>2.5</sub>,87.2
2011,2005 = 100,Time series,PM<sub>2.5</sub>,83.7
2012,2005 = 100,Time series,PM<sub>2.5</sub>,82.9
2013,2005 = 100,Time series,PM<sub>2.5</sub>,81.4
2014,2005 = 100,Time series,PM<sub>2.5</sub>,76.1
2015,2005 = 100,Time series,PM<sub>2.5</sub>,74.8
2016,2005 = 100,Time series,PM<sub>2.5</sub>,70.5
2017,2005 = 100,Time series,PM<sub>2.5</sub>,69.7
2018,2005 = 100,Time series,PM<sub>2.5</sub>,68.5
