Year,Units,Federal state,GeoCode,County,Value
1991,1.000 EUR,,,,27.744
1992,1.000 EUR,,,,28.092
1993,1.000 EUR,,,,27.665
1994,1.000 EUR,,,,28.256
1995,1.000 EUR,,,,28.636
1996,1.000 EUR,,,,28.81
1997,1.000 EUR,,,,29.311
1998,1.000 EUR,,,,29.925
1999,1.000 EUR,,,,30.498
2000,1.000 EUR,,,,31.373
2001,1.000 EUR,,,,31.877
2002,1.000 EUR,,,,31.79
2003,1.000 EUR,,,,31.579
2004,1.000 EUR,,,,31.987
2005,1.000 EUR,,,,32.268
2006,1.000 EUR,,,,33.567
2007,1.000 EUR,,,,34.643
2008,1.000 EUR,,,,35.075
2009,1.000 EUR,,,,33.193
2010,1.000 EUR,,,,34.666
2011,1.000 EUR,,,,36.031
2012,1.000 EUR,,,,36.114
2013,1.000 EUR,,,,36.173
2014,1.000 EUR,,,,36.818
2015,1.000 EUR,,,,37.046
2016,1.000 EUR,,,,37.567
2017,1.000 EUR,,,,38.43
2018,1.000 EUR,,,,38.691
2019,1.000 EUR,,,,39.012
2020,1.000 EUR,,,,37.539
2021,1.000 EUR,,,,38.509
1991,1.000 EUR,Baden-Wuerttemberg,code08,,33.828
1992,1.000 EUR,,,,33.554
1993,1.000 EUR,,,,31.872
1994,1.000 EUR,,,,32.318
1995,1.000 EUR,,,,32.757
1996,1.000 EUR,,,,32.955
1997,1.000 EUR,,,,33.452
1998,1.000 EUR,,,,34.207
1999,1.000 EUR,,,,34.985
2000,1.000 EUR,,,,36.094
2001,1.000 EUR,,,,37.097
2002,1.000 EUR,,,,36.577
2003,1.000 EUR,,,,36.39
2004,1.000 EUR,,,,36.447
2005,1.000 EUR,,,,36.6
2006,1.000 EUR,,,,38.932
2007,1.000 EUR,,,,40.377
2008,1.000 EUR,,,,40.575
2009,1.000 EUR,,,,36.636
2010,1.000 EUR,,,,39.525
2011,1.000 EUR,,,,41.526
2012,1.000 EUR,,,,41.641
2013,1.000 EUR,,,,41.71
2014,1.000 EUR,,,,42.338
2015,1.000 EUR,,,,42.91
2016,1.000 EUR,,,,42.896
2017,1.000 EUR,,,,44.159
2018,1.000 EUR,,,,44.898
2019,1.000 EUR,,,,44.65
2020,1.000 EUR,,,,42.175
2021,1.000 EUR,,,,43.57
1991,1.000 EUR,,,,31.338
1992,1.000 EUR,,,,31.795
1993,1.000 EUR,,,,30.919
1994,1.000 EUR,,,,31.245
1995,1.000 EUR,,,,31.369
1996,1.000 EUR,,,,31.57
1997,1.000 EUR,,,,32.147
1998,1.000 EUR,,,,33.269
1999,1.000 EUR,,,,34.087
2000,1.000 EUR,,,,35.464
2001,1.000 EUR,,,,36.25
2002,1.000 EUR,,,,36.334
2003,1.000 EUR,,,,35.688
2004,1.000 EUR,,,,36.386
2005,1.000 EUR,,,,36.808
2006,1.000 EUR,,,,38.194
2007,1.000 EUR,,,,39.34
2008,1.000 EUR,,,,39.361
2009,1.000 EUR,,,,37.736
2010,1.000 EUR,,,,39.633
2011,1.000 EUR,,,,41.905
2012,1.000 EUR,,,,42.1
2013,1.000 EUR,,,,42.357
2014,1.000 EUR,,,,43.1
2015,1.000 EUR,,,,43.445
2016,1.000 EUR,,,,44.126
2017,1.000 EUR,,,,45.475
2018,1.000 EUR,,,,45.417
2019,1.000 EUR,,,,45.985
2020,1.000 EUR,,,,43.892
2021,1.000 EUR,,,,45.126
1991,1.000 EUR,,,,28.004
1992,1.000 EUR,,,,28.982
1993,1.000 EUR,,,,29.759
1994,1.000 EUR,,,,30.274
1995,1.000 EUR,,,,30.812
