Year,Value,Units,GeoCode
2008,81.8,percentage,
2009,82.5,percentage,
2010,81.7,percentage,
2011,82.0,percentage,
2012,81.0,percentage,
2013,81.4,percentage,
2014,81.8,percentage,
2015,81.0,percentage,
2016,81.8,percentage,
2017,83.1,percentage,
2018,82.7,percentage,
2019,84.2,percentage,
2020,84.1,percentage,
2009,88.3,percentage,
2010,89.2,percentage,
2011,89.9,percentage,
2012,90.8,percentage,
2013,90.8,percentage,
2014,91.7,percentage,
2015,90.8,percentage,
2016,91.7,percentage,
2017,92.5,percentage,
2018,93.3,percentage,
2019,91.7,percentage,
2020,,percentage,
2008,93.6,percentage,
2009,94.5,percentage,
2010,94.9,percentage,
2011,93.6,percentage,
2012,94.0,percentage,
2013,94.1,percentage,
2014,94.5,percentage,
2015,94.4,percentage,
2016,94.5,percentage,
2017,92.7,percentage,
2018,93.6,percentage,
2019,95.2,percentage,
2020,,percentage,
2008,,percentage,
2009,,percentage,
2010,,percentage,
2011,,percentage,
2012,,percentage,
2013,,percentage,
2014,,percentage,
2015,,percentage,
2016,,percentage,
2017,,percentage,
2018,,percentage,
2019,,percentage,
2020,,percentage,
2008,84.7,percentage,
2009,85.7,percentage,
2010,84.7,percentage,
2011,83.7,percentage,
2012,83.7,percentage,
2013,84.7,percentage,
2014,86.7,percentage,
2015,85.7,percentage,
2016,85.7,percentage,
2017,86.7,percentage,
2018,88.8,percentage,
2019,88.7,percentage,
2020,,percentage,
2008,,percentage,
2009,,percentage,
2010,,percentage,
2011,,percentage,
2012,,percentage,
2013,,percentage,
2014,,percentage,
2015,,percentage,
2016,,percentage,
2017,,percentage,
2018,,percentage,
2019,,percentage,
2020,,percentage,
2008,,percentage,
2009,,percentage,
2010,,percentage,
2011,,percentage,
2012,,percentage,
2013,,percentage,
2014,,percentage,
2015,,percentage,
2016,,percentage,
2017,,percentage,
2018,,percentage,
2019,,percentage,
2020,,percentage,
2008,87.9,percentage,
2009,86.4,percentage,
2010,83.6,percentage,
2011,87.0,percentage,
2012,82.3,percentage,
2013,80.9,percentage,
2014,87.1,percentage,
2015,84.6,percentage,
2016,84.7,percentage,
2017,87.3,percentage,
2018,80.9,percentage,
2019,85.9,percentage,
2020,,percentage,
2008,88.7,percentage,
2009,90.0,percentage,
2010,86.2,percentage,
2011,86.2,percentage,
2012,85.0,percentage,
2013,85.0,percentage,
2014,,percentage,
2015,,percentage,
2016,,percentage,
2017,,percentage,
2018,81.4,percentage,
2019,82.2,percentage,
2020,,percentage,
2008,69.9,percentage,
2009,73.0,percentage,
2010,70.4,percentage,
2011,69.7,percentage,
2012,69.1,percentage,
2013,69.3,percentage,
2014,69.6,percentage,
2015,68.7,percentage,
2016,71.5,percentage,
2017,70.7,percentage,
2018,69.7,percentage,
2019,72.1,percentage,
2020,,percentage,
2008,85.1,percentage,
2009,86.4,percentage,
2010,84.0,percentage,
2011,89.2,percentage,
2012,84.6,percentage,
2013,89.3,percentage,
2014,89.3,percentage,
2015,88.6,percentage,
2016,87.4,percentage,
2017,89.0,percentage,
2018,88.5,percentage,
2019,87.8,percentage,
2020,,percentage,
2008,78.3,percentage,
2009,78.3,percentage,
2010,76.8,percentage,
2011,75.4,percentage,
2012,71.0,percentage,
2013,72.5,percentage,
2014,75.4,percentage,
2015,73.9,percentage,
2016,76.8,percentage,
2017,76.8,percentage,
2018,72.1,percentage,
2019,73.4,percentage,
2020,,percentage,
2008,100.0,percentage,
2009,100.0,percentage,
2010,100.0,percentage,
2011,87.5,percentage,
2012,100.0,percentage,
2013,100.0,percentage,
2014,100.0,percentage,
2015,100.0,percentage,
2016,100.0,percentage,
2017,100.0,percentage,
2018,100.0,percentage,
2019,100.0,percentage,
2020,,percentage,
2008,63.0,percentage,
2009,64.8,percentage,
2010,64.4,percentage,
2011,70.5,percentage,
2012,64.5,percentage,
2013,66.7,percentage,
2014,66.7,percentage,
2015,68.3,percentage,
2016,65.1,percentage,
2017,71.0,percentage,
2018,70.7,percentage,
2019,74.1,percentage,
2020,,percentage,
2008,78.5,percentage,
2009,76.9,percentage,
2010,76.8,percentage,
2011,75.4,percentage,
2012,75.4,percentage,
2013,73.9,percentage,
2014,73.9,percentage,
2015,72.9,percentage,
2016,75.7,percentage,
2017,80.0,percentage,
2018,77.3,percentage,
2019,79.1,percentage,
2020,,percentage,
2008,66.0,percentage,
2009,64.2,percentage,
2010,64.2,percentage,
2011,69.8,percentage,
2012,66.0,percentage,
2013,66.0,percentage,
2014,66.0,percentage,
2015,69.8,percentage,
2016,71.7,percentage,
2017,66.7,percentage,
2018,69.8,percentage,
2019,75.5,percentage,
2020,,percentage,
2008,72.7,percentage,
2009,74.5,percentage,
2010,76.4,percentage,
2011,74.5,percentage,
2012,72.7,percentage,
2013,70.0,percentage,
2014,74.6,percentage,
2015,,percentage,
2016,77.1,percentage,
2017,72.2,percentage,
2018,76.9,percentage,
2019,78.4,percentage,
2020,,percentage,
